UC;UC01;;;
Ano;2009-2010;;;
Epoca;RE;;;
Data;16/2/2010;;;
;;;;
Numero ;Freq. Ant. ;Freq. ;Exame ;Resultado 
1020019;--- ;10;5;SM 
1020044;--- ;8;8;8
1030034;--- ;8;FT ;NC 
1040052;--- ;13;FT ;NC 
1040002;--- ;8;7;SM 
1050005;--- ;12;FT ;NC 
1050034;11;11;9;10
1060056;--- ;9;10;10
1070110;--- ;10;9;10
1070094;--- ;0;7;SM 
1080099;15;15;10;12
1080180;--- ;6;1;SM 
1080188;14;14;8;10
1080015;12;12;FT ;NC 
1080051;10;10;8;9
1080063;--- ;8;9;9
1080066;11;11;3;SM 
1080104;--- ;8;5;SM 
1080113;--- ;9;7;SM 
1080114;10;10;4;SM 
1080138;--- ;8;10;10
1080143;10;10;7;SM 
1080144;11;11;6;SM 
1080164;13;13;8;10
1080020;--- ;8;7;SM 
1080160;--- ;11;10;10
1090260;--- ;8;8;8
1090262;--- ;8;9;9
1090267;--- ;10;6;SM 
1090001;--- ;9;10;10
1090008;--- ;8;6;SM 
1090064;--- ;8;FT ;NC 
1090089;--- ;9;FT ;NC 
1090129;--- ;9;9;9
1090150;--- ;9;6;SM 
1090162;--- ;9;7;SM 
1090164;--- ;9;11;10
1090180;--- ;9;10;10
1090189;--- ;8;9;9
1090192;--- ;11;5;SM 
1090198;--- ;11;7;SM 
1090207;--- ;11;5;SM 
1090221;--- ;10;9;10
1090261;--- ;8;3;SM 
1090268;--- ;9;6;SM 
1090006;--- ;8;2;SM 
1090044;--- ;9;10;10
1090079;--- ;8;5;SM 
1090088;--- ;8;9;9
1090090;--- ;8;2;SM 
1090163;--- ;8;8;8
1090170;--- ;8;8;8
1090191;--- ;9;9;9
1090195;--- ;8;6;SM 
1090196;--- ;11;11;11
1090203;--- ;9;8;8
1090213;--- ;14;5;SM 
1090218;--- ;9;FT ;NC 
1090239;--- ;15;FT ;NC 
1090244;--- ;9;8;8
1090248;--- ;8;5;SM 
1090250;--- ;8;6;SM 
1090223;--- ;9;7;SM 
1090227;--- ;12;FT ;NC 
1090251;--- ;NF ;9;SM 
1090252;--- ;16;9;12
1090254;--- ;15;11;13
1090259;--- ;8;FT ;NC 
1090035;--- ;8;FT ;NC 
1090050;--- ;13;8;10
1090071;--- ;13;8;10
1090042;--- ;15;5;SM 
1090083;--- ;8;5;SM 
1090086;--- ;9;7;SM 
1090107;--- ;8;9;9
1090112;--- ;8;FT ;NC 
1090174;--- ;11;8;9
1090177;--- ;8;6;SM 
1090138;--- ;8;5;SM 
1010019;12;12;8;10
1010065;--- ;12;9;10
