UC;UC02;;;
Ano;2009-2010;;;
Epoca;NM;;;
Data;30/1/2010;;;
;;;;
Numero;Freq. Ant. ;Freq. ;Exame ;Resultado 
1010001;--- ;NC ;  ;NC 
1010003;--- ;NC ;  ;NC 
1010010;--- ;9.11 ;16;11
1010011;--- ;NF ;  ;  
1010012;--- ;NF ;  ;  
1010016;--- ;NF ;  ;  
1010019;--- ;12.24 ;16;13
1010025;--- ;NF ;  ;  
1010035;--- ;NF ;  ;  
1010041;--- ;NF ;  ;  
1010059;--- ;10.93 ;  ;NC 
1010065;--- ;7.95 ;16;10
1010066;--- ;NF ;  ;  
1010072;--- ;14.25 ;  ;NC 
1010076;--- ;NC ;  ;NC 
1010085;--- ;14.37 ;14;14
1010090;--- ;10.49 ;17;12
1010106;--- ;15.09 ;12;14
1020004;--- ;NC ;9;NC 
1020005;--- ;NF ;  ;  
1020007;--- ;NF ;  ;  
1020013;--- ;16.91 ;16;17
1020016;--- ;NF ;  ;  
1020017;--- ;9.11 ;17;11
1020020;--- ;NF ;  ;  
1020021;--- ;NC ;  ;NC 
1020023;--- ;13.61 ;14;14
1020030;--- ;NC ;FT ;NC 
1020044;--- ;8.52 ;14;10
1020052;--- ;NF ;  ;  
1030010;--- ;NF ;  ;  
1030015;--- ;NF ;  ;  
1030029;--- ;NF ;  ;  
1030037;--- ;NF ;  ;  
1030038;--- ;NF ;  ;  
1040012;--- ;7.95 ;15;10
1040020;--- ;NF ;  ;  
1040028;--- ;14.68 ;16;15
1040040;--- ;NF ;  ;  
1040048;--- ;14.13 ;15;14
1050012;--- ;NF ;  ;  
1050015;--- ;12.94 ;15;13
1050027;--- ;7.95 ;13;9
1050034;--- ;9.11 ;13;10
1050042;--- ;NF ;  ;  
1050068;--- ;NF ;  ;  
1050076;--- ;NF ;  ;  
1050083;--- ;NC ;FT ;NC 
1060006;--- ;NC ;  ;NC 
1060033;--- ;14.56 ;14;14
1060043;--- ;NC ;  ;NC 
1060051;--- ;NF ;  ;  
1060055;--- ;NF ;  ;  
1060071;--- ;NF ;  ;  
1060076;--- ;NF ;  ;  
1060081;--- ;12.52 ;11;12
1060091;--- ;NF ;  ;  
1060098;--- ;NF ;  ;  
1060103;--- ;8.65 ;14;10
1060112;--- ;NC ;  ;NC 
1060126;--- ;12.91 ;15;13
1060128;--- ;NC ;  ;NC 
1060142;--- ;NF ;  ;  
1070010;--- ;14.68 ;11;14
1070015;--- ;NF ;  ;  
1070018;--- ;NF ;  ;  
1070022;--- ;NF ;  ;  
1070025;--- ;NC ;  ;NC 
1070026;--- ;NC ;FT ;NC 
1070029;--- ;NC ;  ;NC 
1070045;--- ;NC ;  ;NC 
1070051;--- ;NC ;8;NC 
1070053;11;  ;14;12
1070061;--- ;14.26 ;14;14
1070067;--- ;NF ;  ;  
1070072;--- ;10.58 ;12;11
1070078;--- ;NF ;  ;  
1070089;--- ;NF ;  ;  
1070105;--- ;9.56 ;FT ;NC 
1070115;--- ;NF ;  ;  
1070124;--- ;NF ;  ;  
1070128;--- ;12.24 ;FT ;NC 
1070139;--- ;NF ;  ;  
1070143;--- ;10.93 ;13;11
1070151;--- ;NF ;  ;  
1070156;--- ;NF ;  ;  
1070159;--- ;NF ;  ;  
1070164;--- ;NF ;  ;  
1070172;--- ;8.8 ;12;10
1070180;--- ;NF ;  ;  
1080006;--- ;NF ;  ;  
1080007;--- ;NF ;  ;  
1080012;--- ;15.74 ;12;15
1080018;--- ;10.93 ;14;12
1080020;--- ;9.88 ;14;11
1080034;--- ;NC ;  ;NC 
1080035;--- ;NF ;  ;  
1080038;--- ;9.76 ;13;11
1080040;--- ;7.37 ;12;9
1080049;--- ;8.16 ;14;10
1080051;--- ;14.68 ;13;14
1080056;--- ;NF ;  ;  
1080062;--- ;13.16 ;15;14
1080063;--- ;7.21 ;12;8
1080065;--- ;9.3 ;14;11
1080071;--- ;7.91 ;15;10
1080074;10;9.5 ;13;10
1080087;--- ;NC ;  ;NC 
1080104;--- ;9.88 ;15;11
1080111;--- ;NF ;  ;  
1080113;--- ;NC ;  ;NC 
1080114;--- ;8.77 ;8;9
1080116;--- ;14.37 ;15;15
1080119;--- ;NC ;  ;NC 
1080120;--- ;9.75 ;13;11
1080136;--- ;11.57 ;11;11
1080144;--- ;12.21 ;15;13
1080154;--- ;10.71 ;13;11
1080159;17;  ;12;16
1080164;--- ;10.17 ;13;11
1080165;--- ;15.09 ;16;15
1080168;--- ;9.3 ;10;10
1080184;--- ;7.5 ;15;10
1080185;--- ;NF ;  ;  
1080190;--- ;NF ;  ;  
1080191;--- ;8.8 ;11;10
1080194;--- ;13.16 ;11;13
1080196;--- ;16.91 ;17;17
1080197;--- ;NF ;  ;  
1080198;--- ;15.09 ;15;15
1080200;--- ;13.16 ;12;13
1080203;--- ;NF ;  ;  
1080208;--- ;NC ;  ;NC 
1090001;--- ;9.72 ;13;11
1090002;--- ;14.58 ;14;14
1090003;--- ;6.46 ;9;SM 
1090005;--- ;NF ;  ;  
1090006;--- ;7.47 ;13;9
1090008;--- ;13.58 ;14;14
1090009;--- ;11.44 ;13;12
1090010;--- ;6.34 ;FT ;NC 
1090011;--- ;NF ;  ;  
1090012;--- ;NF ;  ;  
1090013;--- ;14.81 ;15;15
1090014;--- ;9.02 ;14;10
1090015;--- ;16.12 ;13;15
1090016;--- ;11.45 ;14;12
1090017;--- ;14.81 ;14;15
1090018;--- ;15.9 ;13;15
1090019;--- ;7.47 ;16;10
1090020;--- ;NC ;FT ;NC 
1090021;--- ;5.98 ;12;SM 
1090022;--- ;6.82 ;FT ;NC 
1090023;--- ;14.37 ;15;15
1090024;--- ;NF ;  ;  
1090025;--- ;13.6 ;13;13
1090026;--- ;NC ;  ;NC 
1090028;--- ;NC ;FT ;NC 
1090029;--- ;NF ;  ;  
1090030;--- ;10.49 ;15;12
1090031;--- ;7.38 ;8;8
1090033;--- ;14.58 ;14;14
1090034;--- ;12.39 ;16;13
1090036;--- ;11.3 ;12;12
1090037;--- ;10.24 ;13;11
1090038;--- ;16.13 ;16;16
1090039;--- ;9.76 ;13;11
1090040;--- ;NF ;  ;  
1090041;--- ;14.28 ;15;14
1090042;--- ;14.13 ;13;14
1090043;--- ;4.94 ;10;SM 
1090044;--- ;9.1 ;11;10
1090045;--- ;NF ;  ;  
1090047;--- ;9.83 ;12;10
1090048;--- ;10.29 ;16;12
1090049;--- ;NC ;  ;NC 
1090050;--- ;10.09 ;12;11
1090051;--- ;9.9 ;11;10
1090052;--- ;12.39 ;12;12
1090053;--- ;NC ;  ;NC 
1090055;--- ;NF ;  ;  
1090056;--- ;7.43 ;14;9
1090057;--- ;17.08 ;14;16
1090058;--- ;NC ;  ;NC 
1090059;--- ;NF ;  ;  
1090060;--- ;NC ;  ;NC 
1090061;--- ;7.92 ;10;8
1090063;--- ;NC ;  ;NC 
1090064;--- ;9.72 ;13;11
1090065;--- ;12.18 ;14;13
1090066;--- ;NF ;  ;  
1090067;--- ;15.44 ;14;15
1090068;--- ;NF ;  ;  
1090069;--- ;NF ;  ;  
1090070;--- ;10.72 ;13;11
1090071;--- ;10.09 ;13;11
