Numero;Ano
1020005;1
1020014;3
1020015;2
1020017;2
1020001;3
1020004;1
1020006;2
1020009;1
1020016;1
1020012;2
1020007;1
1020019;1
1020008;3
1020018;2
1020002;2
1020011;1
1020013;1
1020003;3
1020024;3
1020031;3
1020035;2
1020043;3
1020047;2
1020037;3
1020039;3
1020046;2
1020052;1
1020053;3
1020054;3
1020055;1
1020020;3
1020026;2
1020028;3
1020030;1
1020034;3
1020040;3
1020041;3
1020042;3
1020045;2
1020049;3
1020050;3
1020051;3
1020023;1
1020025;2
1020027;2
1020021;1
1020036;3
1020038;2
1020044;1
1030027;2
1030039;2
1030012;2
1030025;2
1030026;2
1030029;1
1030010;1
1030005;3
1030006;2
1030016;2
1030017;3
1030020;3
1030024;2
1030030;3
1030033;2
1030034;2
1030035;2
1030041;3
1030042;3
1030047;2
1030003;2
1030007;3
1030008;3
1030013;3
1030015;1
1030019;2
1030023;3
1030031;2
1030037;1
1030038;1
1030040;2
1030043;2
1030021;3
1030022;3
1030009;3
1030011;1
1030028;1
1030048;3
1030002;3
1040020;1
1040022;3
1040025;3
1040031;2
1040033;3
1040034;3
1040052;1
1040056;2
1040026;3
1040035;3
1040037;3
1040041;2
1040042;3
1040048;1
1040054;3
1040057;2
1040001;2
1040002;2
1040005;3
1040006;1
1040009;3
1040011;3
1040016;3
1040017;3
1040021;3
1040023;2
1040024;2
1040028;3
1040030;3
1040032;3
1040038;3
1040040;1
1040043;3
1040044;2
1040049;2
1040053;3
1040003;1
1040004;3
1040008;2
1040012;1
1040013;3
1040015;2
1040014;2
1040018;2
1040039;3
1040045;2
1040046;2
1040036;3
1050024;2
1050039;3
1050043;3
1050044;3
1050049;3
1050052;3
1050056;3
1050057;3
1050065;1
1050068;1
1050069;2
1050073;1
1050074;3
1050075;2
1050077;3
1050079;3
1050082;1
1050085;3
1050086;3
1050088;2
1050001;1
1050002;3
1050003;3
1050004;2
1050006;2
1050009;3
1050010;2
1050011;2
1050012;1
1050013;3
1050014;3
1050016;3
1050017;3
1050021;3
1050023;3
1050025;3
1050030;3
1050031;3
1050032;2
1050035;3
1050036;2
1050037;2
1050038;3
1050040;3
1050041;3
1050042;1
1050045;3
1050060;3
1050062;3
1050064;3
1050066;3
1050015;2
1050018;3
1050022;2
1050027;1
1050028;1
1050051;3
1050054;2
1050059;3
1050061;2
1050067;3
1050007;2
1050083;1
1050005;2
1050076;1
1050078;3
1050080;3
1050084;3
1050087;3
1050048;1
1050050;2
1050053;3
1050055;1
1050058;2
1050063;2
1050072;3
1050033;3
1050034;2
1060072;3
1060073;2
1060078;3
1060082;3
1060083;2
1060088;2
1060095;2
1060097;2
1060100;3
1060114;3
1060117;3
1060118;2
1060123;3
1060131;2
1060012;3
1060014;3
1060019;3
1060126;1
1060023;2
1060031;2
1060033;1
1060037;2
1060039;3
1060043;1
1060046;2
1060048;3
1060052;2
1060054;3
1060056;2
1060061;2
1060062;3
1060064;2
1060071;1
1060079;3
1060086;2
1060093;2
1060096;3
1060101;2
1060103;1
1060105;3
1060109;2
1060112;1
1060113;3
1060115;3
1060116;3
1060120;2
1060121;3
