UC;UC06;;
Ano;2009-2010;;
Epoca;RE;;
Data;17/2/2010;;
;;;
Numero;Freq. ;Exame ;Resultado 
1020003;10;FT ;NC 
1020047;13;8;11
1020046;10;7;9
1020045;17;7;SM 
1020025;11;FT ;NC 
1030016;10;9;10
1030017;11;3;7
1030013;11;11;11
1030031;14;12;13
1030048;14;8;11
1040056;12;FT ;NC 
1040035;12;10;11
1040054;14;9;12
1040005;13;9;11
1040030;12;8;10
1040008;11;5;8
1040014;14;5;SM 
1050024;10;6;8
1050049;10;4;7
1050069;14;8;11
1050004;14;FT ;NC 
1050010;10;6;8
1050023;10;8;9
1050025;10;7;9
1050035;12;13;13
1050041;13;FT ;NC 
1050078;12;9;11
1050053;11;11;11
1050058;13;6;SM 
1060073;9;6;8
1060082;12;7;SM 
1060088;8;7;8
1060114;14;6;SM 
1060131;11;7;9
1060019;15;6;SM 
1060031;10;6;8
1060037;14;5;SM 
1060062;12;12;12
1060064;12;4;8
1060109;11;7;9
1060116;10;6;8
1060120;10;5;8
1060122;9;6;8
1060130;11;9;10
1060135;13;8;11
1060137;11;7;9
1060138;8;11;10
1060002;13;6;SM 
1060010;11;FT ;NC 
1060013;10;6;8
1060028;17;7;SM 
1060030;10;6;8
1060032;12;7;SM 
1060034;12;8;10
1060060;13;8;11
1060080;12;7;SM 
1060081;9;7;8
1060089;10;11;11
1060104;9;8;9
1060111;11;12;12
1060139;9;5;7
1060022;13;8;11
1060026;13;11;12
1060027;16;6;SM 
1060029;10;3;7
1060035;11;6;9
1060041;13;13;13
1060063;13;8;11
1060075;10;9;10
1070162;14;7;SM 
1070169;12;6;9
1070177;15;7;SM 
1070037;12;7;SM 
1070084;17;9;13
1070095;15;7;SM 
1070098;13;5;9
1070108;10;7;9
1070117;8;5;7
1070134;10;9;10
1070141;8;FT ;NC 
1070148;15;8;12
1070149;15;9;12
1070155;9;8;9
1070172;10;9;10
1070001;10;9;10
1070021;12;14;13
1070030;9;10;10
1070044;9;10;10
1070068;16;6;SM 
1070072;11;8;10
1070161;16;6;SM 
1070176;10;4;7
1070011;12;6;9
1070013;12;9;11
1070032;9;10;10
1070035;12;12;12
1070042;16;5;SM 
1070048;10;4;7
1070065;16;6;SM 
1070077;11;5;8
1070086;12;3;8
1070091;10;4;7
1070102;15;5;SM 
1070104;15;6;SM 
1070109;12;FT ;NC 
1070121;11;6;9
1070125;11;6;9
1080083;10;5;8
1080085;16;7;SM 
1080088;10;9;10
1080093;14;7;SM 
1080098;9;6;8
1080102;10;5;8
1080103;14;8;11
1080108;12;10;11
1080109;15;10;13
1080112;16;8;12
1080115;17;6;SM 
1080118;13;6;SM 
1080128;10;7;9
1080147;10;8;9
1080156;10;6;8
1080161;10;6;8
1080174;9;7;8
1080205;15;7;SM 
1080014;14;6;SM 
1080019;13;8;11
1080028;9;10;10
1080033;10;7;9
1080045;12;6;9
1080055;11;6;9
1080061;10;8;9
1080067;13;9;11
1080070;8;6;7
1080072;12;4;8
1080073;16;9;13
1080078;16;8;12
1080084;13;5;9
1080089;14;5;SM 
1080097;15;8;12
1080100;15;10;13
1080107;10;6;8
1080117;8;2;5
1080122;10;6;8
1080129;9;10;10
1080149;15;11;13
1080170;11;7;9
1080178;15;7;SM 
1080206;17;7;SM 
1080016;13;4;9
1080025;13;7;SM 
1080032;10;7;9
1080048;13;8;11
1080182;15;13;14
1080151;14;5;SM 
1080163;10;9;10
1080166;14;11;13
1080181;15;9;12
1080192;13;8;11
1080002;10;4;7
1080064;16;6;SM 
1010003;18;8;13
1010024;15;11;13
